address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_time
815 Porter St #U202,Richmond,VA,23224,"$221,950",1,1,809,37.5245,-77.443214,Condo for sale,https://www.zillow.com/homedetails/815-Porter-St-U202-Richmond-VA-23224/64588349_zpid/,06-23-2022_21:50:06,4 hours ago
810 W Lancaster Rd,Richmond,VA,23222,"$349,950",4,2,"1,560",37.566895,-77.44297,House for sale,https://www.zillow.com/homedetails/810-W-Lancaster-Rd-Richmond-VA-23222/12527360_zpid/,06-23-2022_21:50:06,7 hours ago
3131 W Franklin St,Richmond,VA,23221,"$1,075,000",4,3,"2,650",,,New construction,https://www.zillow.com/homedetails/3131-W-Franklin-St-Richmond-VA-23221/2062655249_zpid/,06-23-2022_21:50:06,3D Homes Icon3D Tour
4002 W Grace St,Richmond,VA,23230,"$360,000",3,2,"1,053",37.56998,-77.4843,House for sale,https://www.zillow.com/homedetails/4002-W-Grace-St-Richmond-VA-23230/12553346_zpid/,06-23-2022_21:50:06,8 hours ago
1108 Porter St,Richmond,VA,23224,"$399,900",4,3,"2,512",37.522663,-77.4452,House for sale,https://www.zillow.com/homedetails/1108-Porter-St-Richmond-VA-23224/12535873_zpid/,06-23-2022_21:50:06,8 hours ago
1810 Lakeview Ave,Richmond,VA,23220,"$299,950",3,1,904,37.54295,-77.46688,House for sale,https://www.zillow.com/homedetails/1810-Lakeview-Ave-Richmond-VA-23220/12546534_zpid/,06-23-2022_21:50:06,9 hours ago
617 N 21st St,Richmond,VA,23223,"$245,000",2,1,960,37.537094,-77.41933,Townhouse for sale,https://www.zillow.com/homedetails/617-N-21st-St-Richmond-VA-23223/12518923_zpid/,06-23-2022_21:50:06,14 hours ago
1718 Westwood Ave,Richmond,VA,23227,"$339,000",3,2,"1,390",37.578495,-77.46357,House for sale,https://www.zillow.com/homedetails/1718-Westwood-Ave-Richmond-VA-23227/12531692_zpid/,06-23-2022_21:50:06,1 day on Zillow
2617 Northumberland Ave,Richmond,VA,23220,"$174,990",2,1,896,37.567207,-77.4472,House for sale,https://www.zillow.com/homedetails/2617-Northumberland-Ave-Richmond-VA-23220/12528010_zpid/,06-23-2022_21:50:06,1 day on Zillow
3416 Grove Ave #U11,Richmond,VA,23221,"$254,950",2,1,"1,044",37.558243,-77.48322,Condo for sale,https://www.zillow.com/homedetails/3416-Grove-Ave-U11-Richmond-VA-23221/12552448_zpid/,06-23-2022_21:50:06,2 days on Zillow
4811 Stuart Ave,Richmond,VA,23226,"$399,000",3,1,"1,136",37.56962,-77.50425,House for sale,https://www.zillow.com/homedetails/4811-Stuart-Ave-Richmond-VA-23226/12555148_zpid/,06-23-2022_21:50:06,2 days on Zillow
2119 Maplewood Ave,Richmond,VA,23220,"$375,000",4,2,"1,360",37.54472,-77.47076,Townhouse for sale,https://www.zillow.com/homedetails/2119-Maplewood-Ave-Richmond-VA-23220/12547711_zpid/,06-23-2022_21:50:06,2 days on Zillow
801 Burns St,Richmond,VA,23222,"$325,000",3,3,"1,365",37.57458,-77.420746,New construction,https://www.zillow.com/homedetails/801-Burns-St-Richmond-VA-23222/12530889_zpid/,06-23-2022_21:50:06,2 days on Zillow
6732 Stuart Ave,Richmond,VA,23226,"$449,950",3,2,"1,612",37.58764,-77.53016,House for sale,https://www.zillow.com/homedetails/6732-Stuart-Ave-Richmond-VA-23226/12557151_zpid/,06-23-2022_21:50:06,2 days on Zillow
1922 Hanover Ave,Richmond,VA,23220,"$875,000",3,3,"2,366",37.55268,-77.463585,Townhouse for sale,https://www.zillow.com/homedetails/1922-Hanover-Ave-Richmond-VA-23220/12547169_zpid/,06-23-2022_21:50:06,3 days on Zillow
302 N Stafford Ave,Richmond,VA,23220,"$569,950",-,-,"2,738",37.554874,-77.468925,Multi-family home for sale,https://www.zillow.com/homedetails/302-N-Stafford-Ave-Richmond-VA-23220/12549000_zpid/,06-23-2022_21:50:06,3 days on Zillow
